2021-08-25T16:03:58+02:00,system,internet,TRUE,FALSE
2021-08-25T16:04:00+02:00,system,internet,FALSE,TRUE
2021-08-25T16:05:07+02:00,system,internet,TRUE,FALSE
2021-08-25T16:05:08+02:00,system,internet,FALSE,TRUE
2021-08-25T16:08:00+02:00,system,internet,TRUE,FALSE
2021-08-25T16:08:01+02:00,system,internet,FALSE,TRUE
2021-08-25T16:12:52+02:00,system,internet,TRUE,FALSE
2021-08-25T16:12:54+02:00,system,internet,FALSE,TRUE
2021-08-25T16:12:56+02:00,system,internet,TRUE,FALSE
2021-08-25T16:12:58+02:00,system,internet,FALSE,TRUE
2021-08-25T16:13:52+02:00,system,internet,TRUE,FALSE
2021-08-25T16:13:53+02:00,system,internet,FALSE,TRUE
2021-08-25T16:27:33+02:00,system,internet,TRUE,FALSE
2021-08-25T16:27:34+02:00,system,internet,FALSE,TRUE
2021-08-25T16:27:57+02:00,system,internet,TRUE,FALSE
2021-08-25T16:27:59+02:00,system,internet,FALSE,TRUE
2021-08-25T16:28:14+02:00,system,internet,TRUE,FALSE
2021-08-25T16:28:15+02:00,system,internet,FALSE,TRUE
2021-08-25T16:28:38+02:00,system,internet,TRUE,FALSE
2021-08-25T16:28:39+02:00,system,internet,FALSE,TRUE
2021-08-25T16:28:58+02:00,system,internet,TRUE,FALSE
2021-08-25T16:28:59+02:00,system,internet,FALSE,TRUE
2021-08-25T16:30:17+02:00,system,internet,TRUE,FALSE
2021-08-25T16:30:18+02:00,system,internet,FALSE,TRUE
2021-08-25T16:30:42+02:00,system,internet,TRUE,FALSE
2021-08-25T16:30:43+02:00,system,internet,FALSE,TRUE
2021-08-25T16:31:17+02:00,system,internet,TRUE,FALSE
2021-08-25T16:31:18+02:00,system,internet,FALSE,TRUE
2021-08-25T16:31:37+02:00,system,internet,TRUE,FALSE
2021-08-25T16:31:39+02:00,system,internet,FALSE,TRUE
2021-08-25T16:31:41+02:00,system,internet,TRUE,FALSE
2021-08-25T16:31:42+02:00,system,internet,FALSE,TRUE
2021-08-25T16:32:12+02:00,system,internet,TRUE,FALSE
2021-08-25T16:32:13+02:00,system,internet,FALSE,TRUE
2021-08-25T16:32:15+02:00,system,internet,TRUE,FALSE
2021-08-25T16:32:17+02:00,system,internet,FALSE,TRUE
2021-08-25T16:32:42+02:00,system,internet,TRUE,FALSE
2021-08-25T16:32:44+02:00,system,internet,FALSE,TRUE
2021-08-25T16:32:52+02:00,system,internet,TRUE,FALSE
2021-08-25T16:32:55+02:00,system,internet,FALSE,TRUE
2021-08-25T16:33:27+02:00,system,internet,TRUE,FALSE
2021-08-25T16:33:29+02:00,system,internet,FALSE,TRUE
2021-08-25T16:33:53+02:00,system,internet,TRUE,FALSE
2021-08-25T16:33:54+02:00,system,internet,FALSE,TRUE
2021-08-25T16:37:00+02:00,system,internet,TRUE,FALSE
2021-08-25T16:37:01+02:00,system,internet,FALSE,TRUE
2021-08-25T16:37:53+02:00,system,internet,TRUE,FALSE
2021-08-25T16:37:54+02:00,system,internet,FALSE,TRUE
2021-08-25T16:39:10+02:00,system,internet,TRUE,FALSE
2021-08-25T16:39:11+02:00,system,internet,FALSE,TRUE
2021-08-25T16:39:27+02:00,system,internet,TRUE,FALSE
2021-08-25T16:39:28+02:00,system,internet,FALSE,TRUE
2021-08-25T16:40:30+02:00,system,internet,TRUE,FALSE
2021-08-25T16:40:31+02:00,system,internet,FALSE,TRUE
2021-08-25T16:41:33+02:00,system,internet,TRUE,FALSE
2021-08-25T16:41:39+02:00,system,internet,FALSE,TRUE
2021-08-25T16:42:28+02:00,system,internet,TRUE,FALSE
2021-08-25T16:42:29+02:00,system,internet,FALSE,TRUE
2021-08-25T16:45:42+02:00,system,internet,TRUE,FALSE
2021-08-25T16:45:44+02:00,system,internet,FALSE,TRUE
2021-08-25T16:45:48+02:00,system,internet,TRUE,FALSE
2021-08-25T16:45:50+02:00,system,internet,FALSE,TRUE
2021-08-25T16:45:54+02:00,system,internet,TRUE,FALSE
2021-08-25T16:45:57+02:00,system,internet,FALSE,TRUE
2021-08-25T16:46:00+02:00,system,internet,TRUE,FALSE
2021-08-25T16:46:02+02:00,system,internet,FALSE,TRUE
2021-08-26T09:39:16+02:00,system,internet,TRUE,FALSE
2021-08-26T09:39:17+02:00,system,internet,FALSE,TRUE
2021-08-26T09:39:43+02:00,system,internet,TRUE,FALSE
2021-08-26T09:39:44+02:00,system,internet,FALSE,TRUE
2021-08-26T09:42:01+02:00,system,internet,TRUE,FALSE
2021-08-26T09:42:02+02:00,system,internet,FALSE,TRUE
2021-08-26T09:42:25+02:00,system,internet,TRUE,FALSE
2021-08-26T09:42:26+02:00,system,internet,FALSE,TRUE
2021-08-26T09:43:33+02:00,system,internet,TRUE,FALSE
2021-08-26T09:43:34+02:00,system,internet,FALSE,TRUE
2021-08-26T09:46:06+02:00,system,internet,TRUE,FALSE
2021-08-26T09:46:07+02:00,system,internet,FALSE,TRUE
2021-08-26T09:46:50+02:00,system,internet,TRUE,FALSE
2021-08-26T09:46:52+02:00,system,internet,FALSE,TRUE
2021-08-26T09:50:14+02:00,system,internet,TRUE,FALSE
2021-08-26T09:50:15+02:00,system,internet,FALSE,TRUE
2021-08-26T09:51:47+02:00,system,internet,TRUE,FALSE
2021-08-26T09:51:48+02:00,system,internet,FALSE,TRUE
2021-08-26T09:53:10+02:00,system,internet,TRUE,FALSE
2021-08-26T09:53:12+02:00,system,internet,FALSE,TRUE
2021-08-26T09:54:07+02:00,system,internet,TRUE,FALSE
2021-08-26T09:54:58+02:00,system,internet,TRUE,FALSE
2021-08-26T09:54:59+02:00,system,internet,FALSE,TRUE
2021-08-26T09:55:46+02:00,system,internet,TRUE,FALSE
2021-08-26T09:55:47+02:00,system,internet,FALSE,TRUE
2021-08-26T10:00:52+02:00,system,internet,TRUE,FALSE
2021-08-26T10:00:53+02:00,system,internet,FALSE,TRUE
2021-08-26T10:01:51+02:00,system,internet,TRUE,FALSE
2021-08-26T10:01:52+02:00,system,internet,FALSE,TRUE
2021-08-26T10:06:48+02:00,system,internet,TRUE,FALSE
2021-08-26T10:06:50+02:00,system,internet,FALSE,TRUE
2021-08-26T10:07:04+02:00,system,internet,TRUE,FALSE
2021-08-26T10:07:05+02:00,system,internet,FALSE,TRUE
2021-08-26T10:07:16+02:00,system,internet,TRUE,FALSE
2021-08-26T10:07:18+02:00,system,internet,FALSE,TRUE
2021-08-26T10:07:37+02:00,system,internet,TRUE,FALSE
2021-08-26T10:07:38+02:00,system,internet,FALSE,TRUE
2021-08-26T10:07:42+02:00,system,internet,TRUE,FALSE
2021-08-26T10:07:43+02:00,system,internet,FALSE,TRUE
2021-08-26T10:12:25+02:00,system,internet,TRUE,FALSE
2021-08-26T10:12:27+02:00,system,internet,FALSE,TRUE
2021-08-26T10:12:55+02:00,system,internet,TRUE,FALSE
2021-08-26T10:12:56+02:00,system,internet,FALSE,TRUE
2021-08-26T10:13:01+02:00,system,internet,TRUE,FALSE
2021-08-26T10:13:02+02:00,system,internet,FALSE,TRUE
2021-08-26T10:13:28+02:00,system,internet,TRUE,FALSE
2021-08-26T10:13:30+02:00,system,internet,FALSE,TRUE
2021-08-26T10:15:38+02:00,system,internet,TRUE,FALSE
2021-08-26T10:15:39+02:00,system,internet,FALSE,TRUE
2021-08-26T10:15:46+02:00,system,internet,TRUE,FALSE
2021-08-26T10:15:47+02:00,system,internet,FALSE,TRUE
2021-08-26T10:16:20+02:00,system,internet,TRUE,FALSE
2021-08-26T10:16:21+02:00,system,internet,FALSE,TRUE
2021-08-26T10:18:52+02:00,system,internet,TRUE,FALSE
2021-08-26T10:18:53+02:00,system,internet,FALSE,TRUE
2021-08-26T10:19:50+02:00,system,internet,TRUE,FALSE
2021-08-26T10:19:51+02:00,system,internet,FALSE,TRUE
2021-09-01T21:01:44+02:00,system,internet,TRUE,FALSE
2021-09-12T13:36:15+02:00,system,internet,FALSE,TRUE
2021-09-12T14:07:18+02:00,competition,checkpoint_list,"['WP-test', 'WP-test-2', 'WP-test-3']","[['De Bongerd', 'Oostereng', 'Gelderse Roos', 'De Petteflet', 'Vredenoord', 'Beerenberg', 'Emma Piramide', 'IPC', 'Planken Wambuis', 'Campus WUR']]"
2021-09-12T14:07:37+02:00,competition,checkpoint_list,"[['De Bongerd', 'Oostereng', 'Gelderse Roos', 'De Petteflet', 'Vredenoord', 'Beerenberg', 'Emma Piramide', 'IPC', 'Planken Wambuis', 'Campus WUR']]","['De Bongerd', 'Oostereng', 'Gelderse Roos', 'De Petteflet', 'Vredenoord', 'Beerenberg', 'Emma Piramide', 'IPC', 'Planken Wambuis', 'Campus WUR']"
